,filename,y_min,y_max,x_min,x_max,height,width,size
0,cr1_0001p_00001.cbf,493,601,236,346,108,110,11880
1,cr1_0001p_00002.cbf,493,600,236,349,107,113,12091
2,cr1_0001p_00003.cbf,491,599,237,350,108,113,12204
3,cr1_0001p_00004.cbf,492,598,240,351,106,111,11766
4,cr1_0001p_00005.cbf,491,599,241,351,108,110,11880
5,cr1_0001p_00006.cbf,489,601,238,352,112,114,12768
6,cr1_0001p_00007.cbf,491,601,236,350,110,114,12540
7,cr1_0001p_00008.cbf,492,599,236,351,107,115,12305
8,cr1_0002p_00001.cbf,490,600,237,352,110,115,12650
9,cr1_0002p_00002.cbf,490,601,237,348,111,111,12321
10,cr1_0002p_00003.cbf,490,599,237,349,109,112,12208
11,cr1_0002p_00004.cbf,490,601,237,348,111,111,12321
12,cr1_0002p_00005.cbf,491,599,235,352,108,117,12636
13,cr1_0002p_00006.cbf,489,599,237,349,110,112,12320
14,cr1_0002p_00007.cbf,489,602,236,351,113,115,12995
15,cr1_0002p_00008.cbf,490,601,236,350,111,114,12654
16,cr1_0003p_00001.cbf,491,597,238,351,106,113,11978
17,cr1_0003p_00002.cbf,490,600,237,349,110,112,12320
18,cr1_0003p_00003.cbf,491,601,236,351,110,115,12650
19,cr1_0003p_00004.cbf,489,601,237,350,112,113,12656
20,cr1_0003p_00005.cbf,490,600,234,349,110,115,12650
21,cr1_0003p_00006.cbf,491,600,234,349,109,115,12535
22,cr1_0003p_00007.cbf,489,598,236,349,109,113,12317
23,cr1_0003p_00008.cbf,490,601,237,349,111,112,12432
24,cr1_0004p_00001.cbf,489,600,238,354,111,116,12876
25,cr1_0004p_00002.cbf,492,601,238,352,109,114,12426
26,cr1_0004p_00003.cbf,490,600,237,350,110,113,12430
27,cr1_0004p_00004.cbf,492,598,235,348,106,113,11978
28,cr1_0004p_00005.cbf,489,600,237,350,111,113,12543
29,cr1_0004p_00006.cbf,490,599,234,349,109,115,12535
30,cr1_0004p_00007.cbf,488,600,235,349,112,114,12768
31,cr1_0004p_00008.cbf,489,599,237,351,110,114,12540
32,cr1_0005p_00001.cbf,491,601,240,351,110,111,12210
33,cr1_0005p_00002.cbf,489,599,239,352,110,113,12430
34,cr1_0005p_00003.cbf,492,602,235,349,110,114,12540
35,cr1_0005p_00004.cbf,490,597,235,350,107,115,12305
36,cr1_0005p_00005.cbf,490,602,238,349,112,111,12432
37,cr1_0005p_00006.cbf,488,599,234,348,111,114,12654
38,cr1_0005p_00007.cbf,490,598,237,348,108,111,11988
39,cr1_0005p_00008.cbf,490,601,237,351,111,114,12654
40,cr1_0006p_00001.cbf,490,599,241,353,109,112,12208
41,cr1_0006p_00002.cbf,490,599,237,351,109,114,12426
42,cr1_0006p_00003.cbf,490,599,236,351,109,115,12535
43,cr1_0006p_00004.cbf,491,598,235,349,107,114,12198
44,cr1_0006p_00005.cbf,490,599,234,350,109,116,12644
45,cr1_0006p_00006.cbf,490,600,234,351,110,117,12870
46,cr1_0006p_00007.cbf,490,598,236,351,108,115,12420
47,cr1_0006p_00008.cbf,490,599,238,351,109,113,12317
48,cr1_0007p_00001.cbf,491,600,239,353,109,114,12426
49,cr1_0007p_00002.cbf,490,601,238,353,111,115,12765
50,cr1_0007p_00003.cbf,491,597,238,353,106,115,12190
51,cr1_0007p_00004.cbf,489,599,237,348,110,111,12210
52,cr1_0007p_00005.cbf,490,599,235,350,109,115,12535
53,cr1_0007p_00006.cbf,491,600,236,348,109,112,12208
54,cr1_0007p_00007.cbf,488,599,236,351,111,115,12765
55,cr1_0007p_00008.cbf,491,599,239,352,108,113,12204
56,cr1_0008p_00001.cbf,490,600,239,353,110,114,12540
57,cr1_0008p_00002.cbf,489,598,238,353,109,115,12535
58,cr1_0008p_00003.cbf,489,599,236,353,110,117,12870
59,cr1_0008p_00004.cbf,492,600,237,351,108,114,12312
60,cr1_0008p_00005.cbf,487,601,236,351,114,115,13110
61,cr1_0008p_00006.cbf,489,600,237,352,111,115,12765
62,cr1_0008p_00007.cbf,490,599,239,351,109,112,12208
63,cr1_0008p_00008.cbf,488,599,238,350,111,112,12432
64,cr1_0009p_00001.cbf,490,599,239,353,109,114,12426
65,cr1_0009p_00002.cbf,489,599,237,353,110,116,12760
66,cr1_0009p_00003.cbf,490,599,239,351,109,112,12208
67,cr1_0009p_00004.cbf,490,599,235,351,109,116,12644
68,cr1_0009p_00005.cbf,490,600,235,350,110,115,12650
69,cr1_0009p_00006.cbf,490,599,235,349,109,114,12426
70,cr1_0009p_00007.cbf,490,597,235,351,107,116,12412
71,cr1_0009p_00008.cbf,489,598,238,351,109,113,12317
72,cr1_0010p_00001.cbf,490,600,240,354,110,114,12540
73,cr1_0010p_00002.cbf,492,596,237,352,104,115,11960
74,cr1_0010p_00003.cbf,489,599,238,351,110,113,12430
75,cr1_0010p_00004.cbf,490,598,235,350,108,115,12420
76,cr1_0010p_00005.cbf,490,600,235,351,110,116,12760
77,cr1_0010p_00006.cbf,488,599,235,355,111,120,13320
78,cr1_0010p_00007.cbf,487,600,238,353,113,115,12995
79,cr1_0010p_00008.cbf,491,599,239,353,108,114,12312
80,cr1_0011p_00001.cbf,487,600,239,354,113,115,12995
81,cr1_0011p_00002.cbf,488,598,237,353,110,116,12760
82,cr1_0011p_00003.cbf,488,599,238,351,111,113,12543
83,cr1_0011p_00004.cbf,490,599,238,352,109,114,12426
84,cr1_0011p_00005.cbf,489,596,235,350,107,115,12305
85,cr1_0011p_00006.cbf,491,597,235,352,106,117,12402
86,cr1_0011p_00007.cbf,489,598,237,353,109,116,12644
87,cr1_0011p_00008.cbf,491,599,238,355,108,117,12636
88,cr1_0012p_00001.cbf,490,599,239,353,109,114,12426
89,cr1_0012p_00002.cbf,489,597,239,353,108,114,12312
90,cr1_0012p_00003.cbf,489,597,238,352,108,114,12312
91,cr1_0012p_00004.cbf,491,596,238,350,105,112,11760
92,cr1_0012p_00005.cbf,492,595,235,352,103,117,12051
93,cr1_0012p_00006.cbf,489,598,237,351,109,114,12426
94,cr1_0012p_00007.cbf,488,599,239,352,111,113,12543
95,cr1_0012p_00008.cbf,490,599,239,353,109,114,12426
96,cr1_0013p_00001.cbf,490,597,240,356,107,116,12412
97,cr1_0013p_00002.cbf,491,598,239,354,107,115,12305
98,cr1_0013p_00003.cbf,487,600,239,352,113,113,12769
99,cr1_0013p_00004.cbf,490,598,238,352,108,114,12312
100,cr1_0013p_00005.cbf,488,600,238,350,112,112,12544
101,cr1_0013p_00006.cbf,490,600,236,353,110,117,12870
102,cr1_0013p_00007.cbf,490,597,239,353,107,114,12198
103,cr1_0013p_00008.cbf,489,596,238,352,107,114,12198
104,cr1_0014p_00001.cbf,490,596,239,354,106,115,12190
105,cr1_0014p_00002.cbf,491,598,239,353,107,114,12198
106,cr1_0014p_00003.cbf,491,598,239,351,107,112,11984
107,cr1_0014p_00004.cbf,491,596,236,353,105,117,12285
108,cr1_0014p_00005.cbf,492,596,236,350,104,114,11856
109,cr1_0014p_00006.cbf,488,596,236,353,108,117,12636
110,cr1_0014p_00007.cbf,489,596,240,354,107,114,12198
111,cr1_0014p_00008.cbf,489,597,240,354,108,114,12312
112,cr1_0015p_00001.cbf,490,597,239,354,107,115,12305
113,cr1_0015p_00002.cbf,491,597,239,352,106,113,11978
114,cr1_0015p_00003.cbf,489,599,238,353,110,115,12650
115,cr1_0015p_00004.cbf,490,599,236,352,109,116,12644
116,cr1_0015p_00005.cbf,491,597,238,350,106,112,11872
117,cr1_0015p_00006.cbf,490,597,239,353,107,114,12198
118,cr1_0015p_00007.cbf,488,600,238,354,112,116,12992
119,cr1_0015p_00008.cbf,492,596,240,353,104,113,11752
120,cr1_0016p_00001.cbf,489,595,241,353,106,112,11872
121,cr1_0016p_00002.cbf,490,599,237,355,109,118,12862
122,cr1_0016p_00003.cbf,491,597,237,354,106,117,12402
123,cr1_0016p_00004.cbf,490,596,238,353,106,115,12190
124,cr1_0016p_00005.cbf,492,596,238,352,104,114,11856
125,cr1_0016p_00006.cbf,490,597,240,352,107,112,11984
126,cr1_0016p_00007.cbf,490,597,240,354,107,114,12198
127,cr1_0016p_00008.cbf,491,597,240,354,106,114,12084
128,cr1_0017p_00001.cbf,488,595,240,354,107,114,12198
129,cr1_0017p_00002.cbf,490,597,239,354,107,115,12305
130,cr1_0017p_00003.cbf,491,596,240,354,105,114,11970
131,cr1_0017p_00004.cbf,490,595,239,355,105,116,12180
132,cr1_0017p_00005.cbf,490,596,239,353,106,114,12084
133,cr1_0017p_00006.cbf,491,596,239,354,105,115,12075
134,cr1_0017p_00007.cbf,490,598,241,356,108,115,12420
135,cr1_0017p_00008.cbf,490,596,241,353,106,112,11872
136,cr1_0018p_00001.cbf,490,597,240,354,107,114,12198
137,cr1_0018p_00002.cbf,487,599,240,356,112,116,12992
138,cr1_0018p_00003.cbf,490,599,240,356,109,116,12644
139,cr1_0018p_00004.cbf,489,598,239,354,109,115,12535
140,cr1_0018p_00005.cbf,490,597,240,354,107,114,12198
141,cr1_0018p_00006.cbf,489,596,240,355,107,115,12305
142,cr1_0018p_00007.cbf,490,600,240,355,110,115,12650
143,cr1_0018p_00008.cbf,491,596,240,355,105,115,12075
144,cr1_0019p_00001.cbf,488,596,240,354,108,114,12312
145,cr1_0019p_00002.cbf,491,599,240,354,108,114,12312
146,cr1_0019p_00003.cbf,490,594,240,353,104,113,11752
147,cr1_0019p_00004.cbf,490,596,241,355,106,114,12084
148,cr1_0019p_00005.cbf,490,598,239,353,108,114,12312
149,cr1_0019p_00006.cbf,491,597,239,355,106,116,12296
150,cr1_0019p_00007.cbf,486,596,241,358,110,117,12870
151,cr1_0019p_00008.cbf,489,595,240,354,106,114,12084
152,cr1_0020p_00001.cbf,490,598,240,355,108,115,12420
153,cr1_0020p_00002.cbf,490,597,240,356,107,116,12412
154,cr1_0020p_00003.cbf,492,596,240,353,104,113,11752
155,cr1_0020p_00004.cbf,491,595,242,355,104,113,11752
156,cr1_0020p_00005.cbf,490,595,239,354,105,115,12075
157,cr1_0020p_00006.cbf,488,594,242,353,106,111,11766
158,cr1_0020p_00007.cbf,490,596,242,355,106,113,11978
159,cr1_0020p_00008.cbf,489,596,240,358,107,118,12626
160,cr1_0021p_00001.cbf,489,599,242,356,110,114,12540
161,cr1_0021p_00002.cbf,489,597,240,354,108,114,12312
162,cr1_0021p_00003.cbf,490,597,243,353,107,110,11770
163,cr1_0021p_00004.cbf,491,596,240,355,105,115,12075
164,cr1_0021p_00005.cbf,490,596,241,354,106,113,11978
165,cr1_0021p_00006.cbf,489,597,240,357,108,117,12636
166,cr1_0021p_00007.cbf,491,596,242,355,105,113,11865
167,cr1_0021p_00008.cbf,490,597,245,355,107,110,11770
168,cr1_0022p_00001.cbf,491,598,242,355,107,113,12091
169,cr1_0022p_00002.cbf,490,598,242,354,108,112,12096
170,cr1_0022p_00003.cbf,491,595,242,356,104,114,11856
171,cr1_0022p_00004.cbf,489,598,241,356,109,115,12535
172,cr1_0022p_00005.cbf,489,595,241,354,106,113,11978
173,cr1_0022p_00006.cbf,492,596,243,355,104,112,11648
174,cr1_0022p_00007.cbf,492,596,244,355,104,111,11544
175,cr1_0022p_00008.cbf,490,595,242,353,105,111,11655
176,cr1_0023p_00001.cbf,491,598,242,356,107,114,12198
177,cr1_0023p_00002.cbf,493,595,242,354,102,112,11424
178,cr1_0023p_00003.cbf,488,595,241,357,107,116,12412
179,cr1_0023p_00004.cbf,491,596,240,356,105,116,12180
180,cr1_0023p_00005.cbf,490,596,241,353,106,112,11872
181,cr1_0023p_00006.cbf,490,593,242,355,103,113,11639
182,cr1_0023p_00007.cbf,489,594,242,356,105,114,11970
183,cr1_0023p_00008.cbf,485,601,186,362,116,176,20416
184,cr1_0024p_00001.cbf,491,594,242,352,103,110,11330
185,cr1_0024p_00002.cbf,490,596,240,357,106,117,12402
186,cr1_0024p_00003.cbf,490,598,242,354,108,112,12096
187,cr1_0024p_00004.cbf,491,593,242,356,102,114,11628
188,cr1_0024p_00005.cbf,492,594,241,355,102,114,11628
189,cr1_0024p_00006.cbf,491,594,241,355,103,114,11742
190,cr1_0024p_00007.cbf,491,596,245,355,105,110,11550
191,cr1_0024p_00008.cbf,489,596,241,355,107,114,12198
192,cr1_0025p_00001.cbf,490,596,241,355,106,114,12084
193,cr1_0025p_00002.cbf,494,594,241,356,100,115,11500
194,cr1_0025p_00003.cbf,493,595,242,356,102,114,11628
195,cr1_0025p_00004.cbf,490,593,242,354,103,112,11536
196,cr1_0025p_00005.cbf,492,595,241,354,103,113,11639
197,cr1_0025p_00006.cbf,490,596,243,356,106,113,11978
198,cr1_0025p_00007.cbf,491,596,240,359,105,119,12495
199,cr1_0025p_00008.cbf,483,602,189,361,119,172,20468
200,cr1_0026p_00001.cbf,491,596,241,355,105,114,11970
201,cr1_0026p_00002.cbf,493,594,242,353,101,111,11211
202,cr1_0026p_00003.cbf,481,600,190,361,119,171,20349
203,cr1_0026p_00004.cbf,482,600,191,364,118,173,20414
204,cr1_0026p_00005.cbf,490,594,239,353,104,114,11856
205,cr1_0026p_00006.cbf,484,603,191,361,119,170,20230
206,cr1_0026p_00007.cbf,484,601,192,362,117,170,19890
207,cr1_0026p_00008.cbf,493,595,240,355,102,115,11730
208,cr1_0027p_00001.cbf,488,602,191,367,114,176,20064
209,cr1_0027p_00002.cbf,481,602,192,361,121,169,20449
210,cr1_0027p_00003.cbf,492,595,240,355,103,115,11845
211,cr1_0027p_00004.cbf,493,595,241,355,102,114,11628
212,cr1_0027p_00005.cbf,484,605,191,359,121,168,20328
213,cr1_0027p_00006.cbf,482,602,193,359,120,166,19920
214,cr1_0027p_00007.cbf,490,595,241,354,105,113,11865
215,cr1_0027p_00008.cbf,491,594,241,355,103,114,11742
216,cr1_0028p_00001.cbf,492,594,241,352,102,111,11322
217,cr1_0028p_00002.cbf,484,605,193,362,121,169,20449
218,cr1_0028p_00003.cbf,494,597,242,355,103,113,11639
219,cr1_0028p_00004.cbf,492,594,242,354,102,112,11424
220,cr1_0028p_00005.cbf,483,606,192,358,123,166,20418
221,cr1_0028p_00006.cbf,484,606,194,361,122,167,20374
222,cr1_0028p_00007.cbf,492,594,242,354,102,112,11424
223,cr1_0028p_00008.cbf,491,595,239,354,104,115,11960
224,cr1_0029p_00001.cbf,492,593,241,354,101,113,11413
225,cr1_0029p_00002.cbf,486,604,195,362,118,167,19706
226,cr1_0029p_00003.cbf,483,605,194,361,122,167,20374
227,cr1_0029p_00004.cbf,478,601,195,360,123,165,20295
228,cr1_0029p_00005.cbf,491,592,239,352,101,113,11413
229,cr1_0029p_00006.cbf,484,603,196,362,119,166,19754
230,cr1_0029p_00007.cbf,479,602,197,363,123,166,20418
231,cr1_0029p_00008.cbf,485,604,195,368,119,173,20587
232,cr1_0030p_00001.cbf,482,601,196,363,119,167,19873
233,cr1_0030p_00002.cbf,491,594,240,355,103,115,11845
234,cr1_0030p_00003.cbf,485,603,196,364,118,168,19824
235,cr1_0030p_00004.cbf,491,594,242,357,103,115,11845
236,cr1_0030p_00005.cbf,481,601,195,363,120,168,20160
237,cr1_0030p_00006.cbf,494,595,241,353,101,112,11312
238,cr1_0030p_00007.cbf,492,591,244,354,99,110,10890
239,cr1_0030p_00008.cbf,481,605,197,363,124,166,20584
240,cr1_0031p_00001.cbf,483,605,198,363,122,165,20130
241,cr1_0031p_00002.cbf,486,606,198,364,120,166,19920
242,cr1_0031p_00003.cbf,476,601,197,361,125,164,20500
243,cr1_0031p_00004.cbf,482,606,197,361,124,164,20336
244,cr1_0031p_00005.cbf,485,603,196,362,118,166,19588
245,cr1_0031p_00006.cbf,484,599,199,362,115,163,18745
246,cr1_0031p_00007.cbf,493,592,240,354,99,114,11286
247,cr1_0031p_00008.cbf,484,603,199,367,119,168,19992
248,cr1_0032p_00001.cbf,481,602,199,362,121,163,19723
249,cr1_0032p_00002.cbf,484,604,199,360,120,161,19320
250,cr1_0032p_00003.cbf,481,602,199,362,121,163,19723
251,cr1_0032p_00004.cbf,482,601,197,362,119,165,19635
252,cr1_0032p_00005.cbf,486,605,197,360,119,163,19397
253,cr1_0032p_00006.cbf,484,603,199,363,119,164,19516
254,cr1_0032p_00007.cbf,481,603,201,361,122,160,19520
255,cr1_0032p_00008.cbf,481,601,200,367,120,167,20040
256,cr1_0033p_00001.cbf,480,604,201,362,124,161,19964
257,cr1_0033p_00002.cbf,492,596,244,353,104,109,11336
258,cr1_0033p_00003.cbf,482,603,200,359,121,159,19239
259,cr1_0033p_00004.cbf,488,604,199,359,116,160,18560
260,cr1_0033p_00005.cbf,485,605,199,362,120,163,19560
261,cr1_0033p_00006.cbf,484,602,200,361,118,161,18998
262,cr1_0033p_00007.cbf,493,594,243,356,101,113,11413
263,cr1_0033p_00008.cbf,478,602,203,369,124,166,20584
264,cr1_0034p_00001.cbf,483,606,203,369,123,166,20418
265,cr1_0034p_00002.cbf,482,603,202,359,121,157,18997
266,cr1_0034p_00003.cbf,484,603,200,367,119,167,19873
267,cr1_0034p_00004.cbf,482,602,199,369,120,170,20400
268,cr1_0034p_00005.cbf,482,599,198,362,117,164,19188
269,cr1_0034p_00006.cbf,480,604,202,362,124,160,19840
270,cr1_0034p_00007.cbf,484,603,203,363,119,160,19040
271,cr1_0034p_00008.cbf,479,604,203,364,125,161,20125
272,cr1_0035p_00001.cbf,478,606,203,363,128,160,20480
273,cr1_0035p_00002.cbf,481,607,202,362,126,160,20160
274,cr1_0035p_00003.cbf,480,603,202,362,123,160,19680
275,cr1_0035p_00004.cbf,485,603,201,362,118,161,18998
276,cr1_0035p_00005.cbf,493,595,240,352,102,112,11424
277,cr1_0035p_00006.cbf,483,602,203,361,119,158,18802
278,cr1_0035p_00007.cbf,483,603,204,367,120,163,19560
279,cr1_0035p_00008.cbf,484,604,204,367,120,163,19560
280,cr1_0036p_00001.cbf,484,609,204,366,125,162,20250
281,cr1_0036p_00002.cbf,480,604,204,363,124,159,19716
282,cr1_0036p_00003.cbf,484,605,201,368,121,167,20207
283,cr1_0036p_00004.cbf,482,607,200,359,125,159,19875
